,node,port,wire
1059,sky130_fd_sc_hd__mux2_2 U1951,"['A0', 'A1', 'S', 'X']","['n3904', 'n3905', 'n3672', 'n3906']"
1060,sky130_fd_sc_hd__buf_1 U1952,"['A', 'X']","['n3788', 'n3907']"
1061,sky130_fd_sc_hd__mux4_2 U1953,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][5]', '\\cpuregs[9][5]', '\\cpuregs[10][5]', '\\cpuregs[11][5]', 'n3907', 'n3683', 'n3908']"
1062,sky130_fd_sc_hd__o21a_2 U1954,"['A1', 'A2', 'B1', 'X']","['n3670', 'n3908', 'n3707', 'n3909']"
1063,sky130_fd_sc_hd__mux4_2 U1955,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[12][5]', '\\cpuregs[13][5]', '\\cpuregs[14][5]', '\\cpuregs[15][5]', 'n3907', 'n3666', 'n3910']"
1064,sky130_fd_sc_hd__or2_2 U1956,"['A', 'B', 'X']","['n3672', 'n3910', 'n3911']"
1065,sky130_fd_sc_hd__a221o_2 U1957,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3903', 'n3906', 'n3909', 'n3911', 'n3721', 'n3912']"
1066,sky130_fd_sc_hd__mux4_2 U1958,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][5]', '\\cpuregs[17][5]', '\\cpuregs[18][5]', '\\cpuregs[19][5]', 'n3907', 'n3683', 'n3913']"
1067,sky130_fd_sc_hd__or2_2 U1959,"['A', 'B', 'X']","['n3670', 'n3913', 'n3914']"
1068,sky130_fd_sc_hd__or2_2 U196,"['A', 'B', 'X']","['n2187', 'n2298', 'n2300']"
1069,sky130_fd_sc_hd__mux4_2 U1960,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[20][5]', '\\cpuregs[21][5]', '\\cpuregs[22][5]', '\\cpuregs[23][5]', 'n3907', 'n3683', 'n3915']"
1070,sky130_fd_sc_hd__o21a_2 U1961,"['A1', 'A2', 'B1', 'X']","['n3672', 'n3915', 'n3746', 'n3916']"
1071,sky130_fd_sc_hd__mux4_2 U1962,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[28][5]', '\\cpuregs[29][5]', '\\cpuregs[30][5]', '\\cpuregs[31][5]', 'n3907', 'n3683', 'n3917']"
1072,sky130_fd_sc_hd__o21a_2 U1963,"['A1', 'A2', 'B1', 'X']","['n3672', 'n3917', 'n3707', 'n3918']"
1073,sky130_fd_sc_hd__mux4_2 U1964,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][5]', '\\cpuregs[25][5]', '\\cpuregs[26][5]', '\\cpuregs[27][5]', 'n3907', 'n3683', 'n3919']"
1074,sky130_fd_sc_hd__or2_2 U1965,"['A', 'B', 'X']","['n3670', 'n3919', 'n3920']"
1075,sky130_fd_sc_hd__a221o_2 U1966,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3914', 'n3916', 'n3918', 'n3920', 'n3658', 'n3921']"
1076,sky130_fd_sc_hd__buf_1 U1967,"['A', 'X']","['n3726', 'n3922']"
1077,sky130_fd_sc_hd__a32o_2 U1968,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n3723', 'n3912', 'n3921', 'n3922', '\\reg_pc[5]', 'n3923']"
1078,sky130_fd_sc_hd__mux2_2 U1969,"['A0', 'A1', 'S', 'X']","['n2368', 'n2407', 'n3804', 'n3924']"
1079,sky130_fd_sc_hd__and3_2 U197,"['A', 'B', 'C', 'X']","['n2216', 'n2299', 'n2300', 'n2301']"
1080,sky130_fd_sc_hd__mux2_2 U1970,"['A0', 'A1', 'S', 'X']","['n2441', 'n2462', 'n3804', 'n3925']"
1081,sky130_fd_sc_hd__mux2_2 U1971,"['A0', 'A1', 'S', 'X']","['n3924', 'n3925', 'n3801', 'n3926']"
1082,sky130_fd_sc_hd__a22o_2 U1972,"['A1', 'A2', 'B1', 'B2', 'X']","['n3741', 'n3923', 'n3926', 'n2324', 'n3927']"
1083,sky130_fd_sc_hd__a21boi_2 U1973,"['A1', 'A2', 'B1_N', 'Y']","['n3891', 'n3892', 'n3889', 'n3928']"
1084,sky130_fd_sc_hd__and2_2 U1974,"['A', 'B', 'X']","['n2379', 'pcpi_rs1[5]', 'n3929']"
1085,sky130_fd_sc_hd__nor2_2 U1975,"['A', 'B', 'Y']","['n2379', 'pcpi_rs1[5]', 'n3930']"
1086,sky130_fd_sc_hd__nor2_2 U1976,"['A', 'B', 'Y']","['n3929', 'n3930', 'n3931']"
1087,sky130_fd_sc_hd__xnor2_2 U1977,"['A', 'B', 'Y']","['n3928', 'n3931', 'n3932']"
1088,sky130_fd_sc_hd__a21o_2 U1978,"['A1', 'A2', 'B1', 'X']","['n3454', 'n3932', 'n3655', 'n3933']"
1089,sky130_fd_sc_hd__o2bb2a_2 U1979,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2948', 'n3655', 'n3927', 'n3933', 'n42']"
1090,sky130_fd_sc_hd__a221o_2 U198,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2191', 'n2294', 'n2297', 'n2292', 'n2301', 'n2302']"
1091,sky130_fd_sc_hd__or2_2 U1980,"['A', 'B', 'X']","['n2400', 'pcpi_rs1[6]', 'n3934']"
1092,sky130_fd_sc_hd__nand2_2 U1981,"['A', 'B', 'Y']","['n2400', 'pcpi_rs1[6]', 'n3935']"
1093,sky130_fd_sc_hd__nand2_2 U1982,"['A', 'B', 'Y']","['n3934', 'n3935', 'n3936']"
1094,sky130_fd_sc_hd__nand2_2 U1983,"['A', 'B', 'Y']","['n2379', 'pcpi_rs1[5]', 'n3937']"
1095,sky130_fd_sc_hd__o21a_2 U1984,"['A1', 'A2', 'B1', 'X']","['n3928', 'n3930', 'n3937', 'n3938']"
1096,sky130_fd_sc_hd__xnor2_2 U1985,"['A', 'B', 'Y']","['n3936', 'n3938', 'n3939']"
1097,sky130_fd_sc_hd__buf_1 U1986,"['A', 'X']","['n3565', 'n3940']"
1098,sky130_fd_sc_hd__mux2_2 U1987,"['A0', 'A1', 'S', 'X']","['n2325', 'n2475', 'n3940', 'n3941']"
1099,sky130_fd_sc_hd__mux2_2 U1988,"['A0', 'A1', 'S', 'X']","['n2388', 'n2423', 'n3940', 'n3942']"
1100,sky130_fd_sc_hd__mux2_2 U1989,"['A0', 'A1', 'S', 'X']","['n3941', 'n3942', 'n3458', 'n3943']"
1101,sky130_fd_sc_hd__buf_1 U199,"['A', 'X']","['n2272', 'n2303']"
1102,sky130_fd_sc_hd__a2bb2o_2 U1990,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2227', 'n3939', 'n3943', 'n2222', 'n3944']"
1103,sky130_fd_sc_hd__buf_1 U1991,"['A', 'X']","['n3645', 'n3945']"
1104,sky130_fd_sc_hd__mux4_2 U1992,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][6]', '\\cpuregs[17][6]', '\\cpuregs[18][6]', '\\cpuregs[19][6]', 'n3757', 'n3681', 'n3946']"
1105,sky130_fd_sc_hd__mux4_2 U1993,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[20][6]', '\\cpuregs[21][6]', '\\cpuregs[22][6]', '\\cpuregs[23][6]', 'n3834', 'n3835', 'n3947']"
1106,sky130_fd_sc_hd__mux2_2 U1994,"['A0', 'A1', 'S', 'X']","['n3946', 'n3947', 'n3839', 'n3948']"
1107,sky130_fd_sc_hd__buf_1 U1995,"['A', 'X']","['n3586', 'n3949']"
1108,sky130_fd_sc_hd__buf_1 U1996,"['A', 'X']","['n3577', 'n3950']"
1109,sky130_fd_sc_hd__buf_1 U1997,"['A', 'X']","['n3950', 'n3951']"
1110,sky130_fd_sc_hd__mux4_2 U1998,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][6]', '\\cpuregs[25][6]', '\\cpuregs[26][6]', '\\cpuregs[27][6]', 'n3951', 'n3665', 'n3952']"
1111,sky130_fd_sc_hd__buf_1 U1999,"['A', 'X']","['n3594', 'n3953']"
1112,sky130_fd_sc_hd__buf_2 U2,"['A', 'X']","['mem_la_wdata[5]', 'pcpi_rs2[5]']"
1113,sky130_fd_sc_hd__buf_1 U20,"['A', 'X']","['n2141', 'n2142']"
1114,sky130_fd_sc_hd__buf_1 U200,"['A', 'X']","['n2303', 'n2304']"
1115,sky130_fd_sc_hd__o21a_2 U2000,"['A1', 'A2', 'B1', 'X']","['n3949', 'n3952', 'n3953', 'n3954']"
1116,sky130_fd_sc_hd__buf_1 U2001,"['A', 'X']","['n3635', 'n3955']"
1117,sky130_fd_sc_hd__buf_1 U2002,"['A', 'X']","['n3636', 'n3956']"
1118,sky130_fd_sc_hd__mux4_2 U2003,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[28][6]', '\\cpuregs[29][6]', '\\cpuregs[30][6]', '\\cpuregs[31][6]', 'n3955', 'n3956', 'n3957']"
1119,sky130_fd_sc_hd__or2_2 U2004,"['A', 'B', 'X']","['n3705', 'n3957', 'n3958']"
1120,sky130_fd_sc_hd__a221o_2 U2005,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3717', 'n3948', 'n3954', 'n3958', 'n3614', 'n3959']"
1121,sky130_fd_sc_hd__mux4_2 U2006,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[12][6]', '\\cpuregs[13][6]', '\\cpuregs[14][6]', '\\cpuregs[15][6]', 'n3775', 'n3777', 'n3960']"
1122,sky130_fd_sc_hd__or2_2 U2007,"['A', 'B', 'X']","['n3629', 'n3960', 'n3961']"
1123,sky130_fd_sc_hd__buf_1 U2008,"['A', 'X']","['n3586', 'n3962']"
1124,sky130_fd_sc_hd__buf_1 U2009,"['A', 'X']","['n3630', 'n3963']"
1125,sky130_fd_sc_hd__buf_1 U201,"['A', 'X']","['n2267', 'n2305']"
1126,sky130_fd_sc_hd__mux4_2 U2010,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][6]', '\\cpuregs[9][6]', '\\cpuregs[10][6]', '\\cpuregs[11][6]', 'n3963', 'n3710', 'n3964']"
1127,sky130_fd_sc_hd__o21a_2 U2011,"['A1', 'A2', 'B1', 'X']","['n3962', 'n3964', 'n3639', 'n3965']"
1128,sky130_fd_sc_hd__mux4_2 U2012,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][6]', '\\cpuregs[5][6]', '\\cpuregs[6][6]', '\\cpuregs[7][6]', 'n3767', 'n3877', 'n3966']"
1129,sky130_fd_sc_hd__buf_1 U2013,"['A', 'X']","['n3635', 'n3967']"
1130,sky130_fd_sc_hd__buf_1 U2014,"['A', 'X']","['n3680', 'n3968']"
1131,sky130_fd_sc_hd__mux4_2 U2015,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][6]', '\\cpuregs[1][6]', '\\cpuregs[2][6]', '\\cpuregs[3][6]', 'n3967', 'n3968', 'n3969']"
1132,sky130_fd_sc_hd__mux2_2 U2016,"['A0', 'A1', 'S', 'X']","['n3966', 'n3969', 'n3624', 'n3970']"
1133,sky130_fd_sc_hd__buf_1 U2017,"['A', 'X']","['n3780', 'n3971']"
1134,sky130_fd_sc_hd__buf_1 U2018,"['A', 'X']","['n3719', 'n3972']"
1135,sky130_fd_sc_hd__a221o_2 U2019,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3961', 'n3965', 'n3970', 'n3971', 'n3972', 'n3973']"
1136,sky130_fd_sc_hd__buf_1 U202,"['A', 'X']","['n2221', 'n2306']"
1137,sky130_fd_sc_hd__and3_2 U2020,"['A', 'B', 'C', 'X']","['n3945', 'n3959', 'n3973', 'n3974']"
1138,sky130_fd_sc_hd__a211o_2 U2021,"['A1', 'A2', 'B1', 'C1', 'X']","['n2399', 'n3922', 'n3974', 'n3898', 'n3975']"
1139,sky130_fd_sc_hd__o21a_2 U2022,"['A1', 'A2', 'B1', 'X']","['n3741', 'n3944', 'n3975', 'n3976']"
1140,sky130_fd_sc_hd__mux2_2 U2023,"['A0', 'A1', 'S', 'X']","['n3976', 'n2407', 'n3901', 'n3977']"
1141,sky130_fd_sc_hd__buf_1 U2024,"['A', 'X']","['n3977', 'n43']"
1142,sky130_fd_sc_hd__nor2_2 U2025,"['A', 'B', 'Y']","['\\decoded_imm[7]', 'pcpi_rs1[7]', 'n3978']"
1143,sky130_fd_sc_hd__nand2_2 U2026,"['A', 'B', 'Y']","['\\decoded_imm[7]', 'pcpi_rs1[7]', 'n3979']"
1144,sky130_fd_sc_hd__or2b_2 U2027,"['A', 'B_N', 'X']","['n3978', 'n3979', 'n3980']"
1145,sky130_fd_sc_hd__o21ai_2 U2028,"['A1', 'A2', 'B1', 'Y']","['n3936', 'n3938', 'n3935', 'n3981']"
1146,sky130_fd_sc_hd__xnor2_2 U2029,"['A', 'B', 'Y']","['n3980', 'n3981', 'n3982']"
1147,sky130_fd_sc_hd__or3_2 U203,"['A', 'B', 'C', 'X']","['n2216', 'n2130', 'n2306', 'n2307']"
1148,sky130_fd_sc_hd__mux4_2 U2030,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['n2342', 'n2407', 'n2498', 'n2438', 'n3848', 'n3568', 'n3983']"
1149,sky130_fd_sc_hd__buf_1 U2031,"['A', 'X']","['n3680', 'n3984']"
1150,sky130_fd_sc_hd__mux4_2 U2032,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][7]', '\\cpuregs[1][7]', '\\cpuregs[2][7]', '\\cpuregs[3][7]', 'n3699', 'n3984', 'n3985']"
1151,sky130_fd_sc_hd__mux4_2 U2033,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][7]', '\\cpuregs[5][7]', '\\cpuregs[6][7]', '\\cpuregs[7][7]', 'n3830', 'n3831', 'n3986']"
1152,sky130_fd_sc_hd__buf_1 U2034,"['A', 'X']","['n14', 'n3987']"
1153,sky130_fd_sc_hd__mux2_2 U2035,"['A0', 'A1', 'S', 'X']","['n3985', 'n3986', 'n3987', 'n3988']"
1154,sky130_fd_sc_hd__buf_1 U2036,"['A', 'X']","['n3659', 'n3989']"
1155,sky130_fd_sc_hd__buf_1 U2037,"['A', 'X']","['n3577', 'n3990']"
1156,sky130_fd_sc_hd__mux2_2 U2038,"['A0', 'A1', 'S', 'X']","['\\cpuregs[12][7]', '\\cpuregs[13][7]', 'n3990', 'n3991']"
1157,sky130_fd_sc_hd__and2_2 U2039,"['A', 'B', 'X']","['n3989', 'n3991', 'n3992']"
1158,sky130_fd_sc_hd__a22o_2 U204,"['A1', 'A2', 'B1', 'B2', 'X']","['\\count_instr[1]', 'n2270', '\\count_cycle[33]', 'n2268', 'n2308']"
1159,sky130_fd_sc_hd__buf_1 U2040,"['A', 'X']","['n3632', 'n3993']"
1160,sky130_fd_sc_hd__mux2_2 U2041,"['A0', 'A1', 'S', 'X']","['\\cpuregs[14][7]', '\\cpuregs[15][7]', 'n3690', 'n3994']"
1161,sky130_fd_sc_hd__buf_1 U2042,"['A', 'X']","['n3573', 'n3995']"
1162,sky130_fd_sc_hd__a21o_2 U2043,"['A1', 'A2', 'B1', 'X']","['n3993', 'n3994', 'n3995', 'n3996']"
1163,sky130_fd_sc_hd__mux4_2 U2044,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][7]', '\\cpuregs[9][7]', '\\cpuregs[10][7]', '\\cpuregs[11][7]', 'n3857', 'n3603', 'n3997']"
1164,sky130_fd_sc_hd__o221a_2 U2045,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3992', 'n3996', 'n3997', 'n3818', 'n3677', 'n3998']"
1165,sky130_fd_sc_hd__a211o_2 U2046,"['A1', 'A2', 'B1', 'C1', 'X']","['n3617', 'n3988', 'n3998', 'n3720', 'n3999']"
1166,sky130_fd_sc_hd__buf_1 U2047,"['A', 'X']","['n3594', 'n4000']"
1167,sky130_fd_sc_hd__buf_1 U2048,"['A', 'X']","['n3602', 'n4001']"
1168,sky130_fd_sc_hd__mux4_2 U2049,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][7]', '\\cpuregs[25][7]', '\\cpuregs[26][7]', '\\cpuregs[27][7]', 'n3579', 'n4001', 'n4002']"
1169,sky130_fd_sc_hd__a211o_2 U205,"['A1', 'A2', 'B1', 'C1', 'X']","['\\count_instr[33]', 'n2305', 'n2307', 'n2308', 'n2309']"
1170,sky130_fd_sc_hd__or2_2 U2050,"['A', 'B', 'X']","['n3598', 'n4002', 'n4003']"
1171,sky130_fd_sc_hd__buf_1 U2051,"['A', 'X']","['n3588', 'n4004']"
1172,sky130_fd_sc_hd__buf_1 U2052,"['A', 'X']","['n4004', 'n4005']"
1173,sky130_fd_sc_hd__or2b_2 U2053,"['A', 'B_N', 'X']","['\\cpuregs[31][7]', 'n4005', 'n4006']"
1174,sky130_fd_sc_hd__buf_1 U2054,"['A', 'X']","['n3636', 'n4007']"
1175,sky130_fd_sc_hd__o21a_2 U2055,"['A1', 'A2', 'B1', 'X']","['\\cpuregs[30][7]', 'n3590', 'n4007', 'n4008']"
1176,sky130_fd_sc_hd__buf_1 U2056,"['A', 'X']","['n3578', 'n4009']"
1177,sky130_fd_sc_hd__mux2_2 U2057,"['A0', 'A1', 'S', 'X']","['\\cpuregs[28][7]', '\\cpuregs[29][7]', 'n4009', 'n4010']"
1178,sky130_fd_sc_hd__buf_1 U2058,"['A', 'X']","['n3660', 'n4011']"
1179,sky130_fd_sc_hd__buf_1 U2059,"['A', 'X']","['n3574', 'n4012']"
1180,sky130_fd_sc_hd__a21o_2 U206,"['A1', 'A2', 'B1', 'X']","['\\count_cycle[1]', 'n2304', 'n2309', 'n2310']"
1181,sky130_fd_sc_hd__a221o_2 U2060,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n4006', 'n4008', 'n4010', 'n4011', 'n4012', 'n4013']"
1182,sky130_fd_sc_hd__mux2_2 U2061,"['A0', 'A1', 'S', 'X']","['\\cpuregs[20][7]', '\\cpuregs[21][7]', 'n3950', 'n4014']"
1183,sky130_fd_sc_hd__and2_2 U2062,"['A', 'B', 'X']","['n3685', 'n4014', 'n4015']"
1184,sky130_fd_sc_hd__buf_1 U2063,"['A', 'X']","['n3632', 'n4016']"
1185,sky130_fd_sc_hd__mux2_2 U2064,"['A0', 'A1', 'S', 'X']","['\\cpuregs[22][7]', '\\cpuregs[23][7]', 'n3600', 'n4017']"
1186,sky130_fd_sc_hd__a21o_2 U2065,"['A1', 'A2', 'B1', 'X']","['n4016', 'n4017', 'n3628', 'n4018']"
1187,sky130_fd_sc_hd__mux4_2 U2066,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][7]', '\\cpuregs[17][7]', '\\cpuregs[18][7]', '\\cpuregs[19][7]', 'n3620', 'n3819', 'n4019']"
1188,sky130_fd_sc_hd__o221a_2 U2067,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n4015', 'n4018', 'n4019', 'n3618', 'n3780', 'n4020']"
1189,sky130_fd_sc_hd__a311o_2 U2068,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n4000', 'n4003', 'n4013', 'n3657', 'n4020', 'n4021']"
1190,sky130_fd_sc_hd__a32o_2 U2069,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n3853', 'n3999', 'n4021', 'n3886', '\\reg_pc[7]', 'n4022']"
1191,sky130_fd_sc_hd__o21a_2 U207,"['A1', 'A2', 'B1', 'X']","['n2266', 'n2302', 'n2310', 'n7657']"
1192,sky130_fd_sc_hd__and2_2 U2070,"['A', 'B', 'X']","['n3740', 'n4022', 'n4023']"
1193,sky130_fd_sc_hd__a221o_2 U2071,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3454', 'n3982', 'n3983', 'n2366', 'n4023', 'n4024']"
1194,sky130_fd_sc_hd__mux2_2 U2072,"['A0', 'A1', 'S', 'X']","['n4024', 'n2424', 'n3901', 'n4025']"
1195,sky130_fd_sc_hd__buf_1 U2073,"['A', 'X']","['n4025', 'n44']"
1196,sky130_fd_sc_hd__a21o_2 U2074,"['A1', 'A2', 'B1', 'X']","['n3889', 'n3937', 'n3930', 'n4026']"
1197,sky130_fd_sc_hd__nand3b_2 U2075,"['A_N', 'B', 'C', 'Y']","['n3978', 'n2406', 'n2400', 'n4027']"
1198,sky130_fd_sc_hd__o311a_2 U2076,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n3936', 'n4026', 'n3978', 'n3979', 'n4027', 'n4028']"
1199,sky130_fd_sc_hd__nand2_2 U2077,"['A', 'B', 'Y']","['n3891', 'n3931', 'n4029']"
1200,sky130_fd_sc_hd__or4b_2 U2078,"['A', 'B', 'C', 'D_N', 'X']","['n3936', 'n4029', 'n3980', 'n3892', 'n4030']"
1201,sky130_fd_sc_hd__nand2_2 U2079,"['A', 'B', 'Y']","['n4028', 'n4030', 'n4031']"
1202,sky130_fd_sc_hd__mux2_2 U208,"['A0', 'A1', 'S', 'X']","['mem_rdata[10]', 'mem_rdata[26]', 'n2190', 'n2311']"
1203,sky130_fd_sc_hd__buf_1 U2080,"['A', 'X']","['\\decoded_imm[8]', 'n4032']"
1204,sky130_fd_sc_hd__or2_2 U2081,"['A', 'B', 'X']","['n4032', 'pcpi_rs1[8]', 'n4033']"
1205,sky130_fd_sc_hd__nand2_2 U2082,"['A', 'B', 'Y']","['n4032', 'pcpi_rs1[8]', 'n4034']"
1206,sky130_fd_sc_hd__nand2_2 U2083,"['A', 'B', 'Y']","['n4033', 'n4034', 'n4035']"
1207,sky130_fd_sc_hd__or2b_2 U2084,"['A', 'B_N', 'X']","['n4031', 'n4035', 'n4036']"
1208,sky130_fd_sc_hd__and3_2 U2085,"['A', 'B', 'C', 'X']","['n4033', 'n4034', 'n4031', 'n4037']"
1209,sky130_fd_sc_hd__nor2_2 U2086,"['A', 'B', 'Y']","['n3798', 'n4037', 'n4038']"
1210,sky130_fd_sc_hd__mux4_2 U2087,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['n2367', 'n2424', 'n2513', 'n2462', 'n3847', 'n3846', 'n4039']"
1211,sky130_fd_sc_hd__a22o_2 U2088,"['A1', 'A2', 'B1', 'B2', 'X']","['n4036', 'n4038', 'n4039', 'n2365', 'n4040']"
1212,sky130_fd_sc_hd__buf_1 U2089,"['A', 'X']","['n3624', 'n4041']"
1213,sky130_fd_sc_hd__a22o_2 U209,"['A1', 'A2', 'B1', 'B2', 'X']","['mem_rdata[18]', 'n2287', 'n2311', 'n2284', 'n2312']"
1214,sky130_fd_sc_hd__buf_1 U2090,"['A', 'X']","['n3621', 'n4042']"
1215,sky130_fd_sc_hd__mux4_2 U2091,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[12][8]', '\\cpuregs[13][8]', '\\cpuregs[14][8]', '\\cpuregs[15][8]', 'n3865', 'n4042', 'n4043']"
1216,sky130_fd_sc_hd__or2_2 U2092,"['A', 'B', 'X']","['n4041', 'n4043', 'n4044']"
1217,sky130_fd_sc_hd__buf_1 U2093,"['A', 'X']","['n3618', 'n4045']"
1218,sky130_fd_sc_hd__buf_1 U2094,"['A', 'X']","['n3769', 'n4046']"
1219,sky130_fd_sc_hd__mux4_2 U2095,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][8]', '\\cpuregs[9][8]', '\\cpuregs[10][8]', '\\cpuregs[11][8]', 'n3788', 'n4046', 'n4047']"
1220,sky130_fd_sc_hd__o21a_2 U2096,"['A1', 'A2', 'B1', 'X']","['n4045', 'n4047', 'n3870', 'n4048']"
1221,sky130_fd_sc_hd__mux4_2 U2097,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][8]', '\\cpuregs[5][8]', '\\cpuregs[6][8]', '\\cpuregs[7][8]', 'n3601', 'n3604', 'n4049']"
1222,sky130_fd_sc_hd__mux4_2 U2098,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][8]', '\\cpuregs[1][8]', '\\cpuregs[2][8]', '\\cpuregs[3][8]', 'n3858', 'n3859', 'n4050']"
1223,sky130_fd_sc_hd__mux2_2 U2099,"['A0', 'A1', 'S', 'X']","['n4049', 'n4050', 'n3576', 'n4051']"
1224,sky130_fd_sc_hd__or2_2 U21,"['A', 'B', 'X']","['n2133', 'n2136', 'n2143']"
1225,sky130_fd_sc_hd__a22o_2 U210,"['A1', 'A2', 'B1', 'B2', 'X']","['mem_rdata[2]', 'mem_la_wstrb[0]', 'n2312', 'n2290', 'n2313']"
1226,sky130_fd_sc_hd__a221o_2 U2100,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n4044', 'n4048', 'n4051', 'n3694', 'n3762', 'n4052']"
1227,sky130_fd_sc_hd__mux4_2 U2101,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[20][8]', '\\cpuregs[21][8]', '\\cpuregs[22][8]', '\\cpuregs[23][8]', 'n3580', 'n3583', 'n4053']"
1228,sky130_fd_sc_hd__buf_1 U2102,"['A', 'X']","['n3579', 'n4054']"
1229,sky130_fd_sc_hd__buf_1 U2103,"['A', 'X']","['n3582', 'n4055']"
1230,sky130_fd_sc_hd__mux4_2 U2104,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][8]', '\\cpuregs[17][8]', '\\cpuregs[18][8]', '\\cpuregs[19][8]', 'n4054', 'n4055', 'n4056']"
1231,sky130_fd_sc_hd__mux2_2 U2105,"['A0', 'A1', 'S', 'X']","['n4053', 'n4056', 'n3751', 'n4057']"
1232,sky130_fd_sc_hd__buf_1 U2106,"['A', 'X']","['n3773', 'n4058']"
1233,sky130_fd_sc_hd__buf_1 U2107,"['A', 'X']","['n3775', 'n4059']"
1234,sky130_fd_sc_hd__buf_1 U2108,"['A', 'X']","['n3877', 'n4060']"
1235,sky130_fd_sc_hd__mux4_2 U2109,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][8]', '\\cpuregs[25][8]', '\\cpuregs[26][8]', '\\cpuregs[27][8]', 'n4059', 'n4060', 'n4061']"
1236,sky130_fd_sc_hd__buf_1 U211,"['A', 'X']","['instr_rdinstrh', 'n2314']"
1237,sky130_fd_sc_hd__o21a_2 U2110,"['A1', 'A2', 'B1', 'X']","['n4058', 'n4061', 'n3755', 'n4062']"
1238,sky130_fd_sc_hd__mux4_2 U2111,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[28][8]', '\\cpuregs[29][8]', '\\cpuregs[30][8]', '\\cpuregs[31][8]', 'n3758', 'n3866', 'n4063']"
1239,sky130_fd_sc_hd__or2_2 U2112,"['A', 'B', 'X']","['n3864', 'n4063', 'n4064']"
1240,sky130_fd_sc_hd__a221o_2 U2113,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3746', 'n4057', 'n4062', 'n4064', 'n3884', 'n4065']"
1241,sky130_fd_sc_hd__a32o_2 U2114,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n3854', 'n4052', 'n4065', 'n3887', 'n2430', 'n4066']"
1242,sky130_fd_sc_hd__buf_1 U2115,"['A', 'X']","['n3739', 'n4067']"
